Pages,Frames,Page Faults,Disk Reads,Disk Writes
100,1,1100,1100,100
100,2,1100,1100,100
100,3,1100,1100,100
100,4,1100,1100,100
100,5,1100,1100,100
100,6,1100,1100,100
100,7,1100,1100,100
100,8,1100,1100,100
100,9,1100,1100,100
100,10,1100,1100,100
100,11,1100,1100,100
100,12,1100,1100,100
100,13,1100,1100,100
100,14,1100,1100,100
100,15,1100,1100,100
100,16,1100,1100,100
100,17,1100,1100,100
100,18,1100,1100,100
100,19,1100,1100,100
100,20,1100,1100,100
100,21,1100,1100,100
100,22,1100,1100,100
100,23,1100,1100,100
100,24,1100,1100,100
100,25,1076,1076,100
100,26,1075,1075,100
100,27,1074,1074,100
100,28,1073,1073,100
100,29,1072,1072,100
100,30,1071,1071,100
100,31,1070,1070,100
100,32,1069,1069,100
100,33,1068,1068,100
100,34,1067,1067,100
100,35,1066,1066,100
100,36,1065,1065,100
100,37,1064,1064,100
100,38,1063,1063,100
100,39,1062,1062,100
100,40,1061,1061,100
100,41,1020,1020,100
100,42,1018,1018,100
100,43,1016,1016,100
100,44,1014,1014,100
100,45,1012,1012,100
100,46,1010,1010,100
100,47,1008,1008,100
100,48,1006,1006,100
100,49,1004,1004,100
100,50,1002,1002,100
100,51,950,950,100
100,52,947,947,100
100,53,944,944,100
100,54,941,941,100
100,55,938,938,100
100,56,935,935,100
100,57,932,932,100
100,58,872,872,100
100,59,868,868,100
100,60,864,864,100
100,61,860,860,100
100,62,856,856,100
100,63,789,789,100
100,64,785,785,100
100,65,780,780,100
100,66,775,775,100
100,67,813,813,100
100,68,698,698,100
100,69,692,692,100
100,70,686,686,100
100,71,610,610,100
100,72,603,603,100
100,73,596,596,100
100,74,822,822,100
100,75,508,508,100
100,76,425,425,100
100,77,416,416,100
100,78,330,330,23
100,79,320,320,22
100,80,310,310,21
100,81,300,300,20
100,82,290,290,19
100,83,280,280,18
100,84,270,270,17
100,85,260,260,16
100,86,250,250,15
100,87,264,264,26
100,88,230,230,13
100,89,220,220,12
100,90,336,336,29
100,91,200,200,10
100,92,190,190,9
100,93,180,180,8
100,94,170,170,7
100,95,160,160,6
100,96,150,150,5
100,97,140,140,4
100,98,130,130,3
100,99,120,120,2
100,100,100,100,0
