Pages,Frames,Page Faults,Disk Reads,Disk Writes
100,2,2619,2619,1019
100,3,1904,1904,875
100,4,1634,1634,747
100,5,1321,1321,679
100,6,1319,1319,651
100,7,1322,1322,619
100,8,1036,1036,559
100,9,1044,1044,555
100,10,1047,1047,551
100,11,1055,1055,542
100,12,1074,1074,544
100,13,1059,1059,507
100,14,805,805,451
100,15,795,795,451
100,16,799,799,451
100,17,800,800,451
100,18,804,804,451
100,19,805,805,451
100,20,809,809,451
100,21,810,810,448
100,22,814,814,443
100,23,815,815,438
100,24,819,819,433
100,25,820,820,380
100,26,589,589,326
100,27,577,577,325
100,28,566,566,324
100,29,566,566,323
100,30,567,567,322
100,31,567,567,321
100,32,568,568,320
100,33,562,562,319
100,34,569,569,318
100,35,563,563,317
100,36,570,570,316
100,37,541,541,314
100,38,571,571,314
100,39,571,571,313
100,40,572,572,312
100,41,572,572,311
100,42,557,557,308
100,43,551,551,303
100,44,516,516,293
100,45,522,522,290
100,46,575,575,306
100,47,575,575,305
100,48,501,501,281
100,49,577,577,303
100,50,577,577,252
100,51,349,349,200
100,52,352,352,204
100,53,347,347,200
100,54,346,346,200
100,55,345,345,200
100,56,344,344,200
100,57,357,357,213
100,58,342,342,200
100,59,345,345,204
100,60,352,352,244
100,61,339,339,200
100,62,346,346,208
100,63,337,337,200
100,64,350,350,214
100,65,339,339,204
100,66,334,334,200
100,67,333,333,200
100,68,332,332,200
100,69,331,331,200
100,70,330,330,200
100,71,329,329,200
100,72,330,330,202
100,73,327,327,200
100,74,331,331,205
100,75,325,325,200
100,76,324,324,200
100,77,323,323,200
100,78,322,322,200
100,79,321,321,200
100,80,320,320,200
100,81,326,326,207
100,82,318,318,200
100,83,317,317,200
100,84,316,316,200
100,85,315,315,200
100,86,325,325,211
100,87,313,313,200
100,88,321,321,209
100,89,321,321,210
100,90,310,310,200
100,91,318,318,209
100,92,308,308,200
100,93,307,307,200
100,94,306,306,200
100,95,305,305,200
100,96,304,304,200
100,97,303,303,200
100,98,302,302,200
100,99,301,301,200
100,100,100,100,0
