Pages,Frames,Page Faults,Disk Reads,Disk Writes
100,2,2464,2464,1079
100,3,1790,1790,933
100,4,1532,1532,826
100,5,1367,1367,780
100,6,1254,1254,733
100,7,1164,1164,691
100,8,1113,1113,679
100,9,1072,1072,666
100,10,1038,1038,631
100,11,975,975,615
100,12,927,927,586
100,13,925,925,594
100,14,898,898,585
100,15,875,875,570
100,16,870,870,570
100,17,851,851,559
100,18,801,801,532
100,19,800,800,529
100,20,804,804,531
100,21,759,759,504
100,22,753,753,507
100,23,727,727,498
100,24,714,714,482
100,25,717,717,482
100,26,680,680,461
100,27,701,701,485
100,28,695,695,473
100,29,671,671,465
100,30,661,661,454
100,31,631,631,436
100,32,637,637,450
100,33,610,610,428
100,34,604,604,421
100,35,600,600,428
100,36,599,599,420
100,37,581,581,411
100,38,587,587,413
100,39,586,586,419
100,40,554,554,397
100,41,542,542,377
100,42,560,560,404
100,43,528,528,374
100,44,522,522,378
100,45,494,494,358
100,46,485,485,347
100,47,490,490,349
100,48,490,490,340
100,49,507,507,371
100,50,469,469,333
100,51,493,493,357
100,52,449,449,319
100,53,453,453,329
100,54,474,474,341
100,55,427,427,307
100,56,414,414,293
100,57,409,409,292
100,58,392,392,281
100,59,389,389,279
100,60,394,394,282
100,61,406,406,288
100,62,384,384,270
100,63,388,388,275
100,64,384,384,264
100,65,346,346,245
100,66,354,354,248
100,67,343,343,246
100,68,334,334,227
100,69,344,344,241
100,70,340,340,238
100,71,319,319,213
100,72,310,310,209
100,73,276,276,175
100,74,293,293,195
100,75,280,280,183
100,76,279,279,186
100,77,293,293,196
100,78,263,263,170
100,79,254,254,163
100,80,250,250,155
100,81,250,250,149
100,82,238,238,145
100,83,254,254,158
100,84,211,211,119
100,85,217,217,125
100,86,209,209,118
100,87,191,191,102
100,88,188,188,100
100,89,177,177,83
100,90,180,180,86
100,91,159,159,66
100,92,162,162,66
100,93,151,151,55
100,94,147,147,51
100,95,138,138,42
100,96,138,138,42
100,97,124,124,26
100,98,113,113,15
100,99,105,105,6
100,100,100,100,0
